date;start_hour;end_hour
20211206;8;16
20211207;8;16
20211208;8;16
20211209;8;16
20211210;8;16
20211213;8;16
20211214;8;16
20211215;8;16
20211216;8;16
20211217;8;16
20211220;8;16
20211221;8;16
20211222;8;16
20211223;8;16
20211224;8;16
20211227;8;16
20211228;8;16
20211229;8;16
20211230;8;16
20211231;8;16
20220103;8;16
20220104;8;16
20220105;8;16
20220106;8;16
20220107;8;16
20220110;8;16
20220111;8;16
20220112;8;16
20220113;8;16
20220114;8;16
20220117;8;16
20220118;8;16
20220119;8;16
20220120;8;16
20220121;8;16
20220124;8;16
20220125;8;16
20220126;8;16
20220127;8;16
20220128;8;16
